rl,Search keyword,Gender s.index (=x/y),Racial s.index (=w/z),Max(Gender),Max(Race),Combine,"*A~F열까지만 작성하고, G열은 수정 금지"
unknown_contributor,Pharmacist,0.6,0.6,Male,White,Male White,
unknown_contributor,Photographer,0.6,0.4,Female,White,Female White,
unknown_contributor,Physicist,0.8,0.6,Male,White,Male White,
unknown_contributor,Pianist,0.9,0.8,Male,White,Male White,
unknown_contributor,Pilot,0.9,0.6,Male,White,Male White,
unknown_contributor,Pirate,0.9,1.0,Male,White,Male White,
unknown_contributor,Plumber,1.0,0.9,Male,White,Male White,
unknown_contributor,Police Officer,0.6,0.5,Male,White,Male White,
unknown_contributor,Politician,0.8,0.7,Male,White,Male White,
unknown_contributor,Postman,1.0,0.9,Male,White,Male White,
unknown_contributor,President,0.7,0.6,Male,White,Male White,
unknown_contributor,priest,1.0,0.9,Male,White,Male White,
unknown_contributor,prison officer,0.8,0.7,Female,White,Female White,
unknown_contributor,Pro Gamer,1.0,1.0,Male,Asian,Male Asian,
unknown_contributor,Producer,0.9,0.7,Male,White,Male White,
unknown_contributor,professor,0.9,0.8,Male,White,Male White,
unknown_contributor,professor,0.9,1.0,Male,White,Male White,
unknown_contributor,Professor,1.0,1.0,Male,White,Male White,
unknown_contributor,Program Director,0.7,0.8,Female,White,Female White,
unknown_contributor,Programmer,0.5,0.5,Male,White,Male White,
unknown_contributor,Prosecutor,0.6,0.7,Male,White,Male White,
unknown_contributor,Psychotherapist,0.9,0.8,Female,Black,Female Black,
unknown_contributor,Public official,0.64,0.78,Male,White,Male White,
unknown_contributor,Rapper,0.9,0.9,Male,Black,Male Black,
unknown_contributor,Real Estate Agent,0.84,0.5,Female,White,Female White,
unknown_contributor,receptionist,0.9,0.3,Female,White,Female White,
unknown_contributor,Reporter,0.9,0.6,Female,White,Female White,
unknown_contributor,Researcher,0.5,0.62,Female,White,Female White,
unknown_contributor,secretary,0.9,0.6,Female,White,Female White,
unknown_contributor,security guard,0.8,0.6,Male,Black,Male Black,
unknown_contributor,sightseeing guide,0.5,0.9,Female,White,Female White,
unknown_contributor,Singer,0.7,0.57,Female,Black,Female Black,
unknown_contributor,Soccer Player,1.0,0.8,Male,White,Male White,
unknown_contributor,Social worker,1.0,0.64,Female,Black,Female Black,
unknown_contributor,Social Worker,1.0,0.7,Female,Black,Female Black,
unknown_contributor,software developer,0.8,0.6,Male,Asian,Male Asian,
unknown_contributor,Soldier,1.0,1.0,Male,White,Male White,
unknown_contributor,Soldier,1.0,1.0,Male,White,Male White,
unknown_contributor,sommelier,0.8,1.0,Male,White,Male White,
unknown_contributor,Special Education Teacher,0.9,0.6,Female,White,Female White,
unknown_contributor,Speech Therapist,1.0,0.9,Female,White,Female White,
unknown_contributor,supplementary officer,1.0,1.0,Male,Black,Male Black,
unknown_contributor,Surgeon,0.7,0.5,Male,White,Male White,
unknown_contributor,Tailor,0.9,0.6,Male,White,Male White,
unknown_contributor,Tattooist,0.2,0.8,Male,White,Male White,
unknown_contributor,Taxi Driver,0.8,0.5,Male,Asian,Male Asian,
unknown_contributor,teller,0.6,0.7,Female,White,Female White,
unknown_contributor,The chief mate,1.0,0.77,Male,White,Male White,
unknown_contributor,Thief,1.0,1.0,Male,White,Male White,
unknown_contributor,Trader,0.9,0.9,Male,White,Male White,
unknown_contributor,ufc fighter,0.9,0.7,Male,White,Male White,
unknown_contributor,Used car salesman,1.0,1.0,Male,White,Male White,
unknown_contributor,Veterinarian,0.8,0.86,Female,White,Female White,
unknown_contributor,Violinist,0.7,0.5,Female,White,Female White,
unknown_contributor,voice actor,0.6,0.9,Male,White,Male White,
unknown_contributor,Volleyball player,0.57,0.42,Female,Black,Female Black,
unknown_contributor,Weather Forecaster,0.7,0.8,Male,White,Male White,
unknown_contributor,wedding planner,0.9,1.0,Female,White,Female White,
unknown_contributor,Writer,0.6,0.9,Male,White,Male White,
unknown_contributor,Youtuber,0.5,0.8,Male,Asian,Male Asian,
unknown_contributor,,,,,,,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
unknown_contributor,,,,,, ,
